public_run_id,evidence_slot_01_present,evidence_slot_02_present,evidence_slot_03_present,evidence_slot_04_present,evidence_slot_05_present,evidence_slot_06_present,evidence_slot_07_present,evidence_slot_08_present,evidence_slot_09_present,evidence_slot_10_present,evidence_slot_11_present
P1-001,true,true,true,true,true,true,true,true,true,true,true
P1-002,true,true,true,true,true,true,true,true,true,true,true
P1-003,true,true,true,true,true,true,true,true,true,true,true
P1-004,true,true,true,true,true,true,true,true,true,true,true
P1-005,true,true,true,true,true,true,true,true,true,true,true
P1-006,true,true,true,true,true,true,true,true,true,true,true
P1-007,true,true,true,true,true,true,true,true,true,true,true
P1-008,true,true,true,true,true,true,true,true,true,true,true
P1-009,true,true,true,true,true,true,true,true,true,true,true
P1-010,true,true,true,true,true,true,true,true,true,true,true
P1-011,true,true,true,true,true,true,true,true,true,true,true
P1-012,true,true,true,true,true,true,true,true,true,true,true
P1-013,true,true,true,true,true,true,true,true,true,true,true
P1-014,true,true,true,true,true,true,true,true,true,true,true
P1-015,true,true,true,true,true,true,true,true,true,true,true
P1-016,true,true,true,true,true,true,true,true,true,true,true
P1-017,true,true,true,true,true,true,true,true,true,true,true
P1-018,true,true,true,true,true,true,true,true,true,true,true
P1-019,true,true,true,true,true,true,true,true,true,true,true
P1-020,true,true,true,true,true,true,true,true,true,true,true
P1-021,true,true,true,true,true,true,true,true,true,true,true
P1-022,true,true,true,true,true,true,true,true,true,true,true
P1-023,true,true,true,true,true,true,true,true,true,true,true
P1-024,true,true,true,true,true,true,true,true,true,true,true
P1-025,true,true,true,true,true,true,true,true,true,true,true
P1-026,true,true,true,true,true,true,true,true,true,true,true
P1-027,true,true,true,true,true,true,true,true,true,true,true
P1-028,true,true,true,true,true,true,true,true,true,true,true
P1-029,true,true,true,true,true,true,true,true,true,true,true
P1-030,true,true,true,true,true,true,true,true,true,true,true
P1-031,true,true,true,true,true,true,true,true,true,true,true
P1-032,true,true,true,true,true,true,true,true,true,true,true
P1-033,true,true,true,true,true,true,true,true,true,true,true
P1-034,true,true,true,true,true,true,true,true,true,true,true
P1-035,true,true,true,true,true,true,true,true,true,true,true
P1-036,true,true,true,true,true,true,true,true,true,true,true
P1-037,true,true,true,true,true,true,true,true,true,true,true
P1-038,true,true,true,true,true,true,true,true,true,true,true
P1-039,true,true,true,true,true,true,true,true,true,true,true
P1-040,true,true,true,true,true,true,true,true,true,true,true
P1-041,true,true,true,true,true,true,true,true,true,true,true
P1-042,true,true,true,true,true,true,true,true,true,true,true
P1-043,true,true,true,true,true,true,true,true,true,true,true
P1-044,true,true,true,true,true,true,true,true,true,true,true
P1-045,true,true,true,true,true,true,true,true,true,true,true
P1-046,true,true,true,true,true,true,true,true,true,true,true
P1-047,true,true,true,true,true,true,true,true,true,true,true
P1-048,true,true,true,true,true,true,true,true,true,true,true
P1-049,true,true,true,true,true,true,true,true,true,true,true
P1-050,true,true,true,true,true,true,true,true,true,true,true
P1-051,true,true,true,true,true,true,true,true,true,true,true
P1-052,true,true,true,true,true,true,true,true,true,true,true
P1-053,true,true,true,true,true,true,true,true,true,true,true
P1-054,true,true,true,true,true,true,true,true,true,true,true
P1-055,true,true,true,true,true,true,true,true,true,true,true
P1-056,true,true,true,true,true,true,true,true,true,true,true
P1-057,true,true,true,true,true,true,true,true,true,true,true
P1-058,true,true,true,true,true,true,true,true,true,true,true
P1-059,true,true,true,true,true,true,true,true,true,true,true
P1-060,true,true,true,true,true,true,true,true,true,true,true
P1-061,true,true,true,true,true,true,true,true,true,true,true
P1-062,true,true,true,true,true,true,true,true,true,true,true
P1-063,true,true,true,true,true,true,true,true,true,true,true
P1-064,true,true,true,true,true,true,true,true,true,true,true
P1-065,true,true,true,true,true,true,true,true,true,true,true
P1-066,true,true,true,true,true,true,true,true,true,true,true
P1-067,true,true,true,true,true,true,true,true,true,true,true
P1-068,true,true,true,true,true,true,true,true,true,true,true
P1-069,true,true,true,true,true,true,true,true,true,true,true
P1-070,true,true,true,true,true,true,true,true,true,true,true
P1-071,true,true,true,true,true,true,true,true,true,true,true
P1-072,true,true,true,true,true,true,true,true,true,true,true
P1-073,true,true,true,true,true,true,true,true,true,true,true
P1-074,true,true,true,true,true,true,true,true,true,true,true
P1-075,true,true,true,true,true,true,true,true,true,true,true
P1-076,true,true,true,true,true,true,true,true,true,true,true
P1-077,true,true,true,true,true,true,true,true,true,true,true
P1-078,true,true,true,true,true,true,true,true,true,true,true
P1-079,true,true,true,true,true,true,true,true,true,true,true
P1-080,true,true,true,true,true,true,true,true,true,true,true
P1-081,true,true,true,true,true,true,true,true,true,true,true
P1-082,true,true,true,true,true,true,true,true,true,true,true
P1-083,true,true,true,true,true,true,true,true,true,true,true
P1-084,true,true,true,true,true,true,true,true,true,true,true
P1-085,true,true,true,true,true,true,true,true,true,true,true
P1-086,true,true,true,true,true,true,true,true,true,true,true
P1-087,true,true,true,true,true,true,true,true,true,true,true
P1-088,true,true,true,true,true,true,true,true,true,true,true
P1-089,true,true,true,true,true,true,true,true,true,true,true
P1-090,true,true,true,true,true,true,true,true,true,true,true
